Wall time,Step,Value
1648505204.3614836,443506,3.6037437915802
1648505252.5763652,445457,4.665029525756836
1648505286.4372208,446972,4.74111270904541
1648505311.595129,448107,5.875964164733887
1648505336.9231343,449246,5.104086875915527
1648505366.627694,450587,5.874908924102783
1648505403.8011005,452265,4.743085861206055
1648505441.5437558,453960,6.071138858795166
1648505473.0739279,455382,6.1159868240356445
1648505505.1602647,456828,6.304507732391357
1648505529.7000246,457934,5.312472343444824
1648505550.242467,458858,5.792446136474609
1648505572.3975532,459854,5.872593402862549
1648505592.488088,460757,5.3299736976623535
1648505614.1303132,461730,5.259937763214111
1648505640.1181264,462897,5.51313591003418
1648505684.7535672,464900,6.304597854614258
1648505705.5566976,465833,3.5123448371887207
1648505717.111876,466352,3.555776357650757
1648505753.309526,467979,2.642435073852539
1648505827.15331,471310,4.209799766540527
1648505880.4578001,473723,4.2813825607299805
1648505900.7252367,474642,1.297542929649353
1648505932.356028,476083,5.27426290512085
1648505974.8054829,478019,-0.7670314311981201
1648505994.5783985,478922,4.028537273406982
1648506016.1460943,479906,0.7139931917190552
1648506039.673125,480982,2.263697624206543
1648506066.3710682,482207,2.936412811279297
1648506112.8621662,484341,4.771074295043945
1648506132.937354,485262,4.608611583709717
1648506152.9752572,486181,4.663708209991455
1648506176.0361779,487239,4.6382222175598145
1648506198.121548,488253,4.786984920501709
1648506216.8477588,489113,4.997568130493164
1648506234.095391,489905,4.373948574066162
1648506253.727205,490806,2.225999116897583
1648506275.0283244,491784,4.990139961242676
1648506296.393002,492765,5.064990043640137
1648506321.7628732,493929,5.952699661254883
1648506378.9394548,496547,3.8433244228363037
1648506404.4378169,497717,4.56033182144165
1648506429.8694892,498884,4.374698638916016
